Book Id,Title,Author,Author l-f,Additional Authors,ISBN,ISBN13,My Rating,Publisher,Binding,Number of Pages,Year Published,Original Publication Year,Date Read,Date Added,Bookshelves,Bookshelves with positions,Exclusive Shelf,My Review,Spoiler,Private Notes,Read Count,Owned Copies
41814440,"Heroes: Mortals and Monsters, Quests and Adventures (Stephen Fry's Great Mythology, #2)",Stephen Fry,"Fry, Stephen",,"=""""","=""""",4.0,Penguin,Kindle Edition,469,2018,2018,2019/02/11,2019/01/21,,,read,,,,1,0
35485181,"Mythos: The Greek Myths Retold (Stephen Fry's Great Mythology, #1)",Stephen Fry,"Fry, Stephen",,"=""""","=""""",4.0,Penguin,ebook,416,2017,2017,2019/02/02,2019/01/23,,,read,,,,1,0
18627530,Make It So: Interaction Design Lessons from Science Fiction,Nathan Shedroff,"Shedroff, Nathan",Christopher Noessel,"=""1933820764""","=""9781933820767""",0,Rosenfeld Media,Kindle Edition,369,2012,2012,,2018/10/21,to-read,to-read (#321),to-read,,,,0,0
34810205,The Enigma of Reason: A New Theory of Human Understanding,Hugo Mercier,"Mercier, Hugo",Dan Sperber,"=""""","=""""",0,Penguin,Kindle Edition,379,2017,2017,,2017/10/05,to-read,to-read (#320),to-read,,,,0,0
30195681,"The Age of Em: Work, Love, and Life when Robots Rule the Earth",Robin Hanson,"Hanson, Robin",,"=""0191069663""","=""9780191069666""",0,OUP Oxford,Kindle Edition,509,2016,2016,,2016/06/01,to-read,to-read (#319),to-read,,,,0,0
25131230,Rationality: From AI to Zombies,Eliezer Yudkowsky,"Yudkowsky, Eliezer",,"=""1939311152""","=""9781939311153""",0,Machine Intelligence Research Institute,Kindle Edition,1813,2015,2015,,2016/05/10,to-read,to-read (#318),to-read,,,,0,0
824,The Cobweb,Neal Stephenson,"Stephenson, Neal",J. Frederick George,"=""0553383442""","=""9780553383447""",4.0,Random House Worlds,Paperback,448,2005,1996,2019/01/19,2016/07/30,,,read,,,,1,0
6320931,The Craftsman,Richard Sennett,"Sennett, Richard",,"=""0141022094""","=""9780141022093""",4.0,Penguin Books Ltd,Paperback,326,2009,2008,2019/01/16,2019/01/04,,,read,,,,1,0
35784760,Posthumanism: Anthropological Insights,Alan Smart,"Smart, Alan",Josephine Smart,"=""1442636440""","=""9781442636446""",4.0,University of Toronto Press,Kindle Edition,134,2017,,2019/01/02,2018/12/29,,,read,,,,1,0
28596777,D'Airain #2 (of 2),T.P. Louise,"Louise, T.P.",,"=""""","=""""",3.0,IDW,Kindle Edition,32,2015,,2018/12/29,2018/12/29,,,read,,,,1,0
28596757,D'Airain #1 (of 2),T.P. Louise,"Louise, T.P.",,"=""""","=""""",3.0,IDW,Kindle Edition,30,2015,,2018/12/27,2018/12/27,,,read,,,,1,0
828,Interface,Neal Stephenson,"Stephenson, Neal",J. Frederick George,"=""0553383434""","=""9780553383430""",4.0,Random House Worlds,Paperback,618,2005,1994,2018/12/27,2013/05/27,,,read,,,,1,0
40024818,The Books of Earthsea: The Complete Illustrated Edition,Ursula K. Le Guin,"Guin, Ursula K. Le",,"=""1473223555""","=""9781473223554""",5.0,Gollancz,Kindle Edition,1280,2018,2018,2018/12/15,2018/08/18,,,read,,,,1,0
2214574,Lavinia,Ursula K. Le Guin,"Guin, Ursula K. Le",,"=""0151014248""","=""9780151014248""",0,"Harcourt, Inc.",Hardcover,279,2008,2008,,2018/12/13,to-read,to-read (#317),to-read,,,,0,0
36485213,21 Lessons for the 21st Century,Yuval Noah Harari,"Harari, Yuval Noah",,"=""""","=""""",4.0,Vintage Digital,Kindle Edition,320,2018,2018,2018/10/14,2018/08/18,,,read,,,,1,0
