book_id,title,author_1_name,isbn,isbn13,rating,publisher,format,num_pages,publication_year,started_at,read_at,date_added,bookshelves,read_count,ficOrNonFic,SeriesOrStandalone,LGBTQIA_Characters
7967,"Speaker for the Dead (Ender's Saga, #2)",Orson Scott Card,0812550757,9780812550757,4.0,Tor Books,Mass Market Paperback,382.0,1986.0,,2016-06-01,2016-05-10,,1,Fiction,Series,No
9532,"Ender's Shadow (The Shadow Series, #1)",Orson Scott Card,0765342405,9780765342409,4.0,Starscape,Paperback,469.0,1999.0,,2016-06-01,2016-05-10,,1,Fiction,Series,No
862540,The Kindness of Women,J.G. Ballard,0156471140,9780156471145,5.0,Harcourt,Paperback,352.0,1991.0,,2016-08-01,2016-07-30,,1,Fiction,Standalone,No
8695,"The Restaurant at the End of the Universe (The Hitchhiker's Guide to the Galaxy, #2)",Douglas Adams,,,5.0,Del Rey,Paperback,250.0,1980.0,,2016-10-01,2016-09-30,,1,Fiction,Series,No
8694,"Life, the Universe and Everything (The Hitchhiker's Guide to the Galaxy, #3)",Douglas Adams,0345418905,9780345418906,5.0,Random House Worlds,Paperback,224.0,1982.0,,2016-10-01,2016-09-30,,1,Fiction,Series,No
8698,"So Long, and Thanks for All the Fish (Hitchhiker's Guide to the Galaxy, #4)",Douglas Adams,0330491237,9780330491235,5.0,Non Basic Stock Line,Paperback,167.0,1984.0,,2016-10-01,2016-09-30,,1,Fiction,Series,No
360,"Mostly Harmless (Hitchhiker's Guide to the Galaxy, #5)",Douglas Adams,,,5.0,Ballantine / Del Rey / Fawcett / Ivy,Mass Market Paperback,240.0,1992.0,,2016-10-01,2016-09-30,,1,Fiction,Series,No
18581676,Be Slightly Evil: A Playbook for Sociopaths (Ribbonfarm Roughs),Venkatesh G. Rao,098270304X,,4.0,"Ribbonfarm, Inc.",Kindle Edition,231.0,2013.0,,2016-02-01,2016-05-10,,1,NonFiction,Standalone,No
24155036,Information Doesn't Want to Be Free: Laws for the Internet Age,Cory Doctorow,,,4.0,McSweeney's,Kindle Edition,192.0,2014.0,2016-09-30,2016-10-01,2016-05-10,,1,NonFiction,Standalone,No
25870748,The Complete Hitchhiker's Guide to the Galaxy: The Trilogy of Five,Douglas Adams,1743540191,9781743540190,5.0,Tor UK,Kindle Edition,946.0,1979.0,,2016-10-01,2016-09-29,,1,Fiction,Series,No
23205111,Cimarronin: A Samurai in New Spain #1,Neal Stephenson,1477876081,9781477876084,0.0,Jet City Comics,Kindle Edition,26.0,2014.0,,2016-08-15,2016-07-30,,1,Fiction,Series,No
11,"The Hitchhiker's Guide to the Galaxy (Hitchhiker's Guide to the Galaxy, #1)",Douglas Adams,,,5.0,Del Rey Books,Mass Market Paperback,216.0,1979.0,,2016-10-01,2016-09-30,,1,Fiction,Series,No
18626964,"Ancillary Justice (Imperial Radch, #1)",Ann Leckie,,,5.0,Orbit,Kindle Edition,432.0,2013.0,,2016-10-23,2016-10-24,,1,Fiction,Series,Yes
17027771,The Aspern Papers,Henry James,,,5.0,,Kindle Edition,107.0,1888.0,2016-10-24,2016-10-27,2016-10-24,,1,Fiction,Standalone,No
8244656,The Graveyard Book,Neil Gaiman,,,4.0,Bloomsbury,Kindle Edition,305.0,2008.0,,,2016-05-10,,1,Fiction,Standalone,No
70253,Cocaine Nights,J.G. Ballard,1582430179,9781582430171,5.0,Counterpoint,Paperback,328.0,1996.0,2016-10-02,2016-10-04,2016-10-02,,1,Fiction,Standalone,No
